activate,batch_size,data_file,elapsed_s,gpu_id,initial_overlap,k,layer_num,level,m,mode,model_type,num_iters,overlap_change,returncode,sample_idx,success_rate,suffix_len,targeted
False,200,safety,419.6,4,0.3961038887500763,170,30,population,300,replacement,gemma2-9b-131k,10,0.376,0,11,,1,True
True,100,safety,1156.3,3,0.5470588235294118,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,9,0.2105,1,True
False,200,safety,429.3,5,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.7075,0,11,,1,False
False,200,safety,150.1,4,0.849056601524353,170,30,population,300,suffix,gemma2-9b-131k,10,-0.7421,0,12,,3,False
False,200,safety,195.3,2,0.4197530746459961,170,30,population,300,suffix,gemma2-9b-131k,30,0.3529,0,12,,3,True
False,100,safety,948.2,0,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,10,0.0133,1,False
True,100,safety,215.3,4,0.4470588235294118,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,12,1.0,1,True
False,100,safety,1357.8,7,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,9,0.0,1,False
False,100,safety,222.0,2,0.8941176470588236,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,12,0.0,1,False
False,200,safety,304.7,3,0.4197530746459961,170,30,population,300,replacement,gemma2-9b-131k,10,0.2271,0,12,,1,True
False,200,safety,305.5,5,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.7897,0,12,,1,False
True,100,safety,562.0,6,0.4,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,11,0.6,1,True
False,200,safety,202.4,2,0.7647058963775635,170,30,population,300,suffix,gemma2-9b-131k,10,-0.8366,0,13,,3,False
False,200,safety,236.0,7,0.4058823585510254,170,30,population,300,suffix,gemma2-9b-131k,30,0.3188,0,13,,3,True
True,100,safety,265.8,0,0.4470588235294118,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,12,0.9556,1,True
True,100,safety,209.2,6,0.40588235294117647,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,13,0.4,1,True
False,200,safety,328.9,3,0.4058823585510254,170,30,population,300,replacement,gemma2-9b-131k,10,0.2014,0,13,,1,True
False,200,safety,323.8,5,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.8078,0,13,,1,False
False,100,safety,910.9,1,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,11,0.0533,1,False
False,100,safety,264.0,2,0.8764705882352941,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,13,0.0,1,False
False,200,safety,228.5,6,0.31952664256095886,170,30,population,300,suffix,gemma2-9b-131k,30,0.3333,0,14,,3,True
False,100,safety,554.7,4,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,12,0.1111,1,False
False,200,safety,186.7,3,0.7806451320648193,170,30,population,300,suffix,gemma2-9b-131k,10,-0.8194,0,14,,3,False
True,100,safety,226.7,2,0.3235294117647059,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,14,0.2,1,True
False,200,safety,346.2,5,0.31952664256095886,170,30,population,300,replacement,gemma2-9b-131k,10,0.2205,0,14,,1,True
True,100,safety,530.2,7,0.40588235294117647,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,13,0.22,1,True
False,100,safety,239.3,6,0.8529411764705882,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,14,0.0,1,False
False,100,safety,550.4,0,,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,13,0.08,1,False
False,200,safety,370.5,1,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.712,0,14,,1,False
False,200,safety,202.2,5,0.7222222089767456,170,30,population,300,suffix,gemma2-9b-131k,10,-0.875,0,15,,3,False
False,200,safety,265.7,2,0.3631284832954407,170,30,population,300,suffix,gemma2-9b-131k,30,0.4769,0,15,,3,True
True,100,safety,216.9,0,0.3764705882352941,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,15,0.4,1,True
False,100,safety,217.4,1,0.7823529411764706,170,30,individual,300,suffix,gemma2-9b-131k,10,,0,15,0.2,1,False
False,200,safety,342.4,7,0.3631284832954407,170,30,population,300,replacement,gemma2-9b-131k,10,0.2538,0,15,,1,True
True,100,safety,601.9,4,0.3235294117647059,170,30,individual,300,replacement,gemma2-9b-131k,10,,0,14,0.2182,1,True
False,200,safety,375.6,6,,170,30,population,300,replacement,gemma2-9b-131k,10,-0.7583,0,15,,1,False
